question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What is Simona Hunyadi Murph's occupation?,"[""natural philosopher"", ""scientist"", ""academic"", ""\ud83e\uddd1\u200d\ud83d\udd2c"", ""don"", ""engineer"", ""scientific popularizer"", ""science popularizer"", ""academics"", ""astrophysicist"", ""inventor"", ""physicist"", ""populariser of science"", ""science communicator"", ""popularizer of science""]",Q106390913,P106,Q901,scientist,Q106390913 P106 Q901,Q106390913 P106,Simona Hunyadi Murph,occupation,scientist
What religion was Hans Rev associated with?,"[""Lutheran Church"", ""Roman Apostolic Catholic Church"", ""Roman Catholic"", ""Catholic Church"", ""Roman Catholic Church"", ""Lutheranism"", ""Church"", ""Lutherans""]",Q1582010,P140,Q9592,Roman Catholic,Q1582010 P140 Q9592,Q1582010 P140,Hans Rev,religion,Catholic Church
What country is the Cevizlidere mine located in?,"[""Republic of Turkey"", ""Turkey"", ""\ud83c\uddf9\ud83c\uddf7"", ""TUR"", ""TR""]",Q16256069,P17,Q43,Turkey,Q16256069 P17 Q43,Q16256069 P17,Cevizlidere mine,country,Turkey
Where did Hattie Saussy study?,"[""Chase School"", ""Parsons The New School for Design"", ""The Chase School"", ""Mary Baldwin College"", ""New York School of Art"", ""New York School of Fine and Applied Arts"", ""The New York School of Art"", ""Mary Baldwin Seminary"", ""The New York School of Fine and Applied Art"", ""New York School of Fine and Applied Art"", ""Mary Baldwin University"", ""Parsons School of Design"", ""Augusta Female Seminary""]",Q19662047,P69,Q6778997,Mary Baldwin Seminary,Q19662047 P69 Q6778997,Q19662047 P69,Hattie Saussy,educated at,Mary Baldwin University
"Who was the executive producer of the short lived CBS series ""Family Dog""?","[""Dennis Klein"", ""Tim Burton"", ""Steven Spielberg"", ""Timothy Walter Burton"", ""Spielberg"", ""Timothy Burton"", ""Timothy William Burton"", ""Steven Allan Spielberg""]",Q2308392,P1431,Q8877,Steven Spielberg,Q2308392 P1431 Q8877,Q2308392 P1431,Family Dog,executive producer,Steven Spielberg
What is the seat of government of Gmina Legnickie Pole?,"[""Legnickie Pole""]",Q2317133,P36,Q355403,Legnickie Pole,Q2317133 P36 Q355403,Q2317133 P36,Gmina Legnickie Pole,capital,Legnickie Pole
What type of cuisine is couscous?,"[""Mediterranean cuisine"", ""Mediterranean food"", ""cuisine of Morocco"", ""cuisine of Algeria"", ""Mauritanian cuisine"", ""Tunisian cuisine"", ""Tunisian food"", ""Mauritanian food"", ""cuisine of Mauritania"", ""cuisine of Tunisia"", ""Mauritania cuisine"", ""Berber cuisine"", ""Moroccan food"", ""cuisine of the Mediterranean"", ""Moroccan cuisine"", ""Algerian cuisine""]",Q76605,P2012,Q1150262,Moroccan cuisine,Q76605 P2012 Q1150262,Q76605 P2012,couscous,cuisine,Moroccan cuisine
What medical condition did Ramón Sampedro Cameán have?,"[""quadriplegia"", ""quadriplegic"", ""tetraplegia""]",Q460083,P1050,Q944758,quadriplegic,Q460083 P1050 Q944758,Q460083 P1050,Ramón Sampedro Cameán,medical condition,tetraplegia
What was Robert Hugh Rose's occupation?,"[""medical doctor"", ""dietitian"", ""medical practitioner"", ""physician"", ""writers"", ""Dietitian, nutritionist"", ""doctor"", ""writer"", ""authors"", ""dietician"", ""author"", ""physicians"", ""medical doctors""]",Q106230436,P106,Q842811,dietitian,Q106230436 P106 Q842811,Q106230436 P106,Robert Hugh Rose,occupation,dietitian
Who did Absolon Stumme become a family member of by marrying into their family?,"[""Hinrik Bornemann"", ""Hinrich Bornemann""]",Q332331,P1038,Q869902,Hinrik Bornemann,Q332331 P1038 Q869902,Q332331 P1038,Absolon Stumme,relative,Hinrik Bornemann
What type of cuisine is Nasi Kapau known for serving?,"[""cuisine of Indonesia"", ""Padang food"", ""Indonesian food"", ""Minang"", ""Indonesian cuisine""]",Q13096852,P2012,Q954297,Minang,Q13096852 P2012 Q954297,Q13096852 P2012,Nasi Kapau,cuisine,Padang food
What is the seat of government of Gmina Oksa?,"[""Oksa""]",Q555587,P36,Q1820386,Oksa,Q555587 P36 Q1820386,Q555587 P36,Gmina Oksa,capital,Oksa
"What larger work was ""Does a Bee Care?"" published in?","["""", ""Buy Jupiter and Other Stories"", ""Worlds of Science Fiction""]",Q1704456,P1433,Q2621546,Buy Jupiter and Other Stories,Q1704456 P1433 Q2621546,Q1704456 P1433,Does a Bee Care?,published in,Buy Jupiter and Other Stories
What type of cuisine is cucumber soup a part of?,"[""Polish cuisine"", ""cuisine of Poland"", ""Polish"", ""Polish food"", ""Lithuanian cuisine"", ""Lithuanian food"", ""cuisine of Lithuania""]",Q16247075,P2012,Q756020,Polish,Q16247075 P2012 Q756020,Q16247075 P2012,cucumber soup,cuisine,Polish cuisine
"In which larger work, like a book, journal or music album, was the melody for ""Out of the depths I cry to thee"" published?","[""Lov Herren"", ""Gotteslob (2013)"", ""N13"", ""EG"", ""Norsk salmebok 2013"", ""Evangelisches Gesangbuch"", ""\u00c6re v\u00e6re Gud"", ""Syng for Herren"", ""Norwegian Hymnal 2013: For Church and Home""]",Q3615722,P1433,Q1381294,EG,Q3615722 P1433 Q1381294,Q3615722 P1433,Out of the depths I cry to thee,published in,Evangelisches Gesangbuch
What is the capital of Krasnozyorsky District?,"[""Krasnoz\u00ebrskoye"", ""Krasnozyorskoye""]",Q852063,P36,Q919091,Krasnozyorskoye,Q852063 P36 Q919091,Q852063 P36,Krasnozyorsky District,capital,Krasnozërskoye
What is the seat of government of Gmina Wolbórz?,"[""Wolb\u00f3rz"", ""Wolborz""]",Q2458246,P36,Q386659,Wolbórz,Q2458246 P36 Q386659,Q2458246 P36,Gmina Wolbórz,capital,Wolbórz
"What is the architectural style of an ancient Greek temple, such as the Parthenon?","[""Ancient Greek architecture"", ""ancient Greek architecture"", ""Greek architecture""]",Q267596,P149,Q331273,Ancient Greek architecture,Q267596 P149 Q331273,Q267596 P149,ancient Greek temple,architectural style,ancient Greek architecture
What type of cuisine is chili con queso?,"[""Gastronom\u00eda de M\u00e9xico"", ""Mexican cuisine"", ""Tex-Mex"", ""Tex-Mex cuisine"", ""Mexican food"", ""cuisine of Mexico""]",Q2578908,P2012,Q29359,Tex-Mex,Q2578908 P2012 Q29359,Q2578908 P2012,chili con queso,cuisine,Tex-Mex
What is the capital of Loreto Municipality?,"[""Loreto, Baja California Sur"", ""Conch\u00f3"", ""Concho"", ""Loreto"", ""Loreto, Mexico""]",Q1861506,P36,Q1020758,Loreto,Q1861506 P36 Q1020758,Q1861506 P36,Loreto Municipality,capital,Loreto
Who is the author of The Solitude of Compassion?,"[""Jean Giono""]",Q16677418,P50,Q177411,Jean Giono,Q16677418 P50 Q177411,Q16677418 P50,The Solitude of Compassion,author,Jean Giono
What is the capital of Chon Buri?,"[""Chonburi"", ""Chon Buri""]",Q207068,P36,Q138589,Chonburi,Q207068 P36 Q138589,Q207068 P36,Chon Buri,capital,Chon Buri
Who was the doctoral advisor of Bohuslav Diviš?,"[""Peter Roquette"", ""Vojt\u011bch Jarn\u00edk"", ""Vojtech Jarnik""]",Q890960,P184,Q96649,Peter Roquette,Q890960 P184 Q96649,Q890960 P184,Bohuslav Diviš,doctoral advisor,Peter Roquette
"Who is the composer of ""Woody N' You""?","[""Dizzy Gillespie"", ""John Birks Gillespie"", ""John Birks Dizzy Gillespie""]",Q8033687,P86,Q49575,Dizzy Gillespie,Q8033687 P86 Q49575,Q8033687 P86,Woody N' You,composer,Dizzy Gillespie
What is the capital of Belu?,"[""Atambua""]",Q14133,P36,Q753347,Atambua,Q14133 P36 Q753347,Q14133 P36,Belu,capital,Atambua
Where was Mellem Slagene first performed?,"[""Christiania Theater"", ""Christiania Theatre""]",Q59694936,P4647,Q1782787,Christiania Theater,Q59694936 P4647 Q1782787,Q59694936 P4647,Mellem Slagene,location of first performance,Christiania Theatre
What channel broadcast the 2017 TVB Star Awards Malaysia?,"[""Astro Wah Lai Toi""]",Q48966055,P3301,Q1998701,Astro Wah Lai Toi,Q48966055 P3301 Q1998701,Q48966055 P3301,2017 TVB Star Awards Malaysia,broadcast by,Astro Wah Lai Toi
What is the capital of Washakie County?,"[""Worland"", ""Worland, Wyoming""]",Q112846,P36,Q845469,Worland,Q112846 P36 Q845469,Q112846 P36,Washakie County,capital,Worland
What religion is associated with the burqa?,"[""Islamic religion"", ""al-\u2019isl\u0101m"", ""Muslim religion"", ""Mohammedanism"", ""religion of the Muslims"", ""Islam""]",Q167884,P140,Q432,Islam,Q167884 P140 Q432,Q167884 P140,burqa,religion,Islam
Where was Wilhelm Herchenbach born?,"[""Neunkirchen-Seelscheid"", ""Neunkirchen""]",Q100366,P19,Q254171,Neunkirchen,Q100366 P19 Q254171,Q100366 P19,Wilhelm Herchenbach,place of birth,Neunkirchen-Seelscheid
"Where was Domenico Marzi, the Italian politician born in 1954, originally from?","[""Frosinone""]",Q85891094,P19,Q13413,Frosinone,Q85891094 P19 Q13413,Q85891094 P19,Domenico Marzi,place of birth,Frosinone
What is the capital of Bear Lake County?,"[""Paris, Idaho"", ""Paris""]",Q486372,P36,Q984459,Paris,Q486372 P36 Q984459,Q486372 P36,Bear Lake County,capital,Paris
What is the specific family relationship between Blaise Alexandre Desgoffe and Alexandre Desgoffe?,"[""Alexandre Desgoffe""]",Q1532683,P1038,Q2833597,Alexandre Desgoffe,Q1532683 P1038 Q2833597,Q1532683 P1038,Blaise Alexandre Desgoffe,relative,Alexandre Desgoffe
What country is Apance in?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of France"", ""FR"", ""La France"", ""the Hexagon"", ""French Republic""]",Q617566,P17,Q142,France,Q617566 P17 Q142,Q617566 P17,Apance,country,France
What educational institution was Anirudh Lal Nagar educated at?,"[""University of Lucknow"", ""Erasmus University Rotterdam"", ""Lucknow University"", ""EUR""]",Q21095581,P69,Q4253367,Lucknow University,Q21095581 P69 Q4253367,Q21095581 P69,Anirudh Lal Nagar,educated at,University of Lucknow
What is the country of citizenship of Hugo Erfurt?,"[""GER"", ""Deutschland"", ""Bundesrepublik Deutschland"", ""Germany"", ""DE"", ""de"", ""FRG"", ""BR Deutschland"", ""Federal Republic of Germany"", ""BRD"", ""German""]",Q104745,P27,Q183,German,Q104745 P27 Q183,Q104745 P27,Hugo Erfurt,country of citizenship,Germany
What is the capital of Alabat?,"[""Alabat Island"", ""Alabat""]",Q103786,P1376,Q1339042,Alabat Island,Q103786 P1376 Q1339042,Q103786 P1376,Alabat,capital of,Alabat
What is the architectural style of Schloss Kartlow?,"[""Gothic Revival"", ""Neogothic architecture"", ""Gothic Revival style"", ""Jigsaw Gothic"", ""Victorian Gothic architecture"", ""Neo-Gothic architecture"", ""Gothic Revival architecture""]",Q2241831,P149,Q186363,Gothic Revival,Q2241831 P149 Q186363,Q2241831 P149,Schloss Kartlow,architectural style,Gothic Revival
"Which composer, known for writing piano sonatas, composed the music for Piano Sonata No. 29?","[""Beethoven"", ""L. van Betkhoven"", ""L. v. Beethoven"", ""L. van Beethoven"", ""L. Bethovenas"", ""Ludwik van Beethoven"", ""Louis van Beethoven"", ""Ludwig Van Beethoven"", ""Ludvig van Beethoven"", ""Ludwig van Beethoven""]",Q146730,P86,Q255,Beethoven,Q146730 P86 Q255,Q146730 P86,Piano Sonata No. 29,composer,Ludwig van Beethoven
Where did Jennifer Trask receive her MFA?,"[""Massachusetts School of Art"", ""Massachusetts College of Art"", ""SUNY New Paltz"", ""Massachusetts College of Art and Design"", ""State University of New York at New Paltz"", ""Massachusetts Normal Art School"", ""MassArt""]",Q29033673,P69,Q7603625,State University of New York at New Paltz,Q29033673 P69 Q7603625,Q29033673 P69,Jennifer Trask,educated at,State University of New York at New Paltz
What religious affiliation does Karl Josef Rauber have?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q76375,P140,Q9592,Catholic Church,Q76375 P140 Q9592,Q76375 P140,Karl Josef Rauber,religion,Catholic Church
Who was Meg Schwamb's doctoral advisor at the Palomar Observatory in California?,"[""Brown, M. E."", ""Michael Brown"", ""Brown M. E."", ""Michael E. Brown"", ""Mike Brown"", ""Michael Edwards Brown""]",Q12036333,P184,Q298913,Michael Brown,Q12036333 P184 Q298913,Q12036333 P184,Meg Schwamb,doctoral advisor,Michael E. Brown
What is the religion of the Monastery of Agathon?,"[""Greek Orthodox"", ""Greek Orthodox Christians"", ""Greek Orthodox Church""]",Q21533493,P140,Q7970362,Greek Orthodox,Q21533493 P140 Q7970362,Q21533493 P140,Monastery of Agathon,religion,Greek Orthodox Church
What educational institution did Ilmar Öpik attend?,"[""Tallinna Tehnika\u00fclikool"", ""Tallinn Technical University"", ""TT\u00dc"", ""TalTech"", ""Tallinn University of Technology"", ""Gustav Adolf Grammar School""]",Q17439640,P69,Q604487,Tallinn University of Technology,Q17439640 P69 Q604487,Q17439640 P69,Ilmar Öpik,educated at,Tallinn University of Technology
Who was the father of Wang Sumeun?,"[""Taejo of Goryeo""]",Q24860408,P22,Q334312,Taejo of Goryeo,Q24860408 P22 Q334312,Q24860408 P22,Wang Sumeun,father,Taejo of Goryeo
What educational institution did Jean-Maurice Simard attend?,"[""uOttawa"", ""McGill"", ""U of O"", ""Royal institution of advanced learning"", ""McGill college"", ""McGill University"", ""University of McGill College"", ""Ottawa U"", ""University of Ottawa""]",Q3167911,P69,Q627969,University of Ottawa,Q3167911 P69 Q627969,Q3167911 P69,Jean-Maurice Simard,educated at,University of Ottawa
What was the capital of Apostolove Raion?,"[""Apostolovo"", ""Apostolove""]",Q2992497,P36,Q475572,Apostolove,Q2992497 P36 Q475572,Q2992497 P36,Apostolove Raion,capital,Apostolove
Where was Andreas Ignatius Schaepman born?,"[""Zwolle""]",Q498376,P19,Q793,Zwolle,Q498376 P19 Q793,Q498376 P19,Andreas Ignatius Schaepman,place of birth,Zwolle
Who was the doctoral advisor of Bernd Eistert?,"[""Fritz Arndt"", ""Fritz Georg Arndt""]",Q78397,P184,Q75208,Fritz Arndt,Q78397 P184 Q75208,Q78397 P184,Bernd Eistert,doctoral advisor,Fritz Arndt
Where was Enoch Thorsgard born?,"[""Northwood"", ""Northwood, North Dakota""]",Q18201708,P19,Q2135432,"Northwood, North Dakota",Q18201708 P19 Q2135432,Q18201708 P19,Enoch Thorsgard,place of birth,Northwood
What is the capital of Muscogee County?,"[""Columbus, Georgia"", ""Columbus""]",Q492048,P36,Q239870,Columbus,Q492048 P36 Q239870,Q492048 P36,Muscogee County,capital,Columbus
What is the capital of Sumbawa Barat?,"[""Taliwang""]",Q14124,P36,Q4251116,Taliwang,Q14124 P36 Q4251116,Q14124 P36,Sumbawa Barat,capital,Taliwang
What is the municipal association that Großenstein is a member of?,"[""Am Brahmetal""]",Q554764,P1376,Q145628,Am Brahmetal,Q554764 P1376 Q145628,Q554764 P1376,Großenstein,capital of,Am Brahmetal
What is the religion of Dong Moon Joo?,"[""Family Federation for World Peace and Unification"", ""Unification Church""]",Q5295753,P140,Q217059,Unification Church,Q5295753 P140 Q217059,Q5295753 P140,Dong Moon Joo,religion,Unification Church
What country was Tjejtrampet held in?,"[""Kingdom of Sweden"", ""SE"", ""se"", ""\ud83c\uddf8\ud83c\uddea"", ""SWE"", ""Sweden""]",Q10698891,P17,Q34,Sweden,Q10698891 P17 Q34,Q10698891 P17,Tjejtrampet,country,Sweden
What country is Prääma located in?,"[""Estland"", ""ee"", ""Republic of Estonia"", ""Eesti"", ""EST"", ""\ud83c\uddea\ud83c\uddea"", ""Estonia""]",Q3464740,P17,Q191,Estonia,Q3464740 P17 Q191,Q3464740 P17,Prääma,country,Estonia
"What language is widely used in Cabatuan, a municipality in the Philippines?","["""", ""tgl"", ""Kinaray-A"", ""Hiligayan"", ""tl"", ""Hiligaynon"", ""Ilonggo"", ""Hiligaynon language"", ""hil"", ""Tagalog"", ""Kinaray-a"", ""Kinaray-a language"", ""Tagalog language"", ""Ilongo"", ""krj"", ""Karay-a language""]",Q274693,P2936,Q35978,Hiligaynon,Q274693 P2936 Q35978,Q274693 P2936,Cabatuan,language used,Hiligaynon
What sport does Kenneth Birkedal participate in or is associated with?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q6389869,P641,Q2736,footballer,Q6389869 P641 Q2736,Q6389869 P641,Kenneth Birkedal,sport,association football
What country is Thissamaharama Divisional Secretariat located in?,"[""Ceylon"", ""lk"", ""Serendib"", ""Ceylan"", ""Democratic Socialist Republic of Sri Lanka"", ""Lanka, Sri"", ""\u0633\u064a\u0644\u0627\u0646"", ""Sri Lanka"", ""lke"", ""ce"", ""\u0633\u0631\u0646\u062f\u064a\u0628"", ""Taprobane"", ""SRI"", ""Srilanka"", ""sri"", ""\ud83c\uddf1\ud83c\uddf0""]",Q7786473,P17,Q854,Sri Lanka,Q7786473 P17 Q854,Q7786473 P17,Thissamaharama Divisional Secretariat,country,Sri Lanka
"What country is Wapi Pathum, a district in Maha Sarakham province, located in?","[""THA"", ""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""\ud83c\uddf9\ud83c\udded"", ""Land of Smiles""]",Q127327,P17,Q869,Thailand,Q127327 P17 Q869,Q127327 P17,Wapi Pathum,country,Thailand
What genre is The Lust for Gold?,"[""silent movie"", ""silent film"", ""silent""]",Q7749197,P136,Q226730,silent film,Q7749197 P136 Q226730,Q7749197 P136,The Lust for Gold,genre,silent film
What sport does Jorge Antonio Muñoz participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q6277660,P641,Q2736,footballer,Q6277660 P641 Q2736,Q6277660 P641,Jorge Antonio Muñoz,sport,association football
"What administrative division was Velyka Bilozerka the capital of before July 18, 2020?","["""", ""Velyka Bilozerka Raion""]",Q4106226,P1376,Q2216463,Velyka Bilozerka Raion,Q4106226 P1376 Q2216463,Q4106226 P1376,Velyka Bilozerka,capital of,Velyka Bilozerka Raion
What country is the Winter Haven Heights Historic Residential District located in?,"[""the US"", ""the States"", ""U. S."", ""America"", ""the United States"", ""US of A"", ""U. S. A."", ""United States of America"", ""US"", ""U.S"", ""U.S."", ""the USA"", ""'Merica"", ""'Murica"", ""U.S.A."", ""USA"", ""United States"", ""the U.S."", ""the United States of America""]",Q8026247,P17,Q30,U.S.,Q8026247 P17 Q30,Q8026247 P17,Winter Haven Heights Historic Residential District,country,United States of America
What type of cuisine is hummus commonly served with in Israeli pita?,"[""palestaine cuisine"", ""Israeli""]",Q241987,P2012,Q62458,Israeli,Q241987 P2012 Q62458,Q241987 P2012,hummus,cuisine,palestaine cuisine
What type of cuisine does El Bajío serve?,"[""Gastronom\u00eda de M\u00e9xico"", ""traditional Mexican food"", ""Mexican cuisine"", ""Mexican food"", ""cuisine of Mexico""]",Q5350798,P2012,Q207965,traditional Mexican food,Q5350798 P2012 Q207965,Q5350798 P2012,El Bajío,cuisine,Mexican cuisine
What language was widely used by the Internacia Esperanto-Ligo?,"[""epo"", ""Esperanto language"", ""Esperanto"", ""eo""]",Q1666269,P2936,Q143,Esperanto,Q1666269 P2936 Q143,Q1666269 P2936,Internacia Esperanto-Ligo,language used,Esperanto
